film_id,title,description,backdrop_path,poster_path,release_year,language_id,original_language_id,rental_duration,rental_rate,length,replacement_cost
213,DATE SPEED,A Touching Saga of a Composer And a Moose who must Discover a Dentist in A MySQL Convention,https://image.tmdb.org/t/p/w500/n4ChV0MskyVOzOMBO8V6xoi6Z94.jpg,https://image.tmdb.org/t/p/w500/io5lQ7VRJGBCg2kTJ6BRWRclqJE.jpg,2006,1,NULL,4,0.99,104,19.99
13,ALI FOREVER,A Action-Packed Drama of a Dentist And a Crocodile who must Battle a Feminist in The Canadian Rockies,https://image.tmdb.org/t/p/w500/rR5GhPfulwOHeEbvuom8gwgo2i9.jpg,https://image.tmdb.org/t/p/w500/nhxj5XmhWeZbWH6LP8IRenyEjbt.jpg,2006,1,NULL,4,4.99,150,21.99
14,ALICE FANTASIA,A Emotional Drama of a A Shark And a Database Administrator who must Vanquish a Pioneer in Soviet Georgia,https://image.tmdb.org/t/p/w500/jjp0pOGBX7b2ZCUwI6U837HiYGS.jpg,https://image.tmdb.org/t/p/w500/53kxYw0G3o55yJ23K7s7KMaOyAM.jpg,2006,1,NULL,6,0.99,94,23.99
15,ALIEN CENTER,A Brilliant Drama of a Cat And a Mad Scientist who must Battle a Feminist in A MySQL Convention,https://image.tmdb.org/t/p/w500/ydF3hT1fjrM71AbNAYBZKnq6rtL.jpg,https://image.tmdb.org/t/p/w500/aMr99UigkMCTSPnLTpkzJeLmpyc.jpg,2006,1,NULL,5,2.99,46,10.99
16,ALLEY EVOLUTION,A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans,https://image.tmdb.org/t/p/w500/anSbunnEMI0TSmizqUSRACoe18l.jpg,https://image.tmdb.org/t/p/w500/i2zztssCIbahGES1fdfWFmDXian.jpg,2006,1,NULL,6,2.99,180,23.99
17,ALONE TRIP,A Fast-Paced Character Study of a Composer And a Dog who must Outgun a Boat in An Abandoned Fun House,https://image.tmdb.org/t/p/w500/oRwBASyG34mwSpIR1CSao123Xi4.jpg,https://image.tmdb.org/t/p/w500/vHrNnqqRYWzkkrJV8MtmUGgC4Kk.jpg,2006,1,NULL,3,0.99,82,14.99
18,ALTER VICTORY,A Thoughtful Drama of a Composer And a Feminist who must Meet a Secret Agent in The Canadian Rockies,https://image.tmdb.org/t/p/w500/zm5qhhfQkyV9Z2l8oHBaGRaEBLd.jpg,https://image.tmdb.org/t/p/w500/skb7jy7QHcIp09UCFTZ7iH1ZeZ7.jpg,2006,1,NULL,6,0.99,57,27.99
19,AMADEUS HOLY,A Emotional Display of a Pioneer And a Technical Writer who must Battle a Man in A Baloon,https://image.tmdb.org/t/p/w500/29CxkpXnUPQb5Dhk9zfxMByIQqD.jpg,https://image.tmdb.org/t/p/w500/oHMA8euTiZdDFXDi5zaIQQXwl0K.jpg,2006,1,NULL,6,0.99,113,20.99
20,AMELIE HELLFIGHTERS,A Boring Drama of a Woman And a Squirrel who must Conquer a Student in A Baloon,https://image.tmdb.org/t/p/w500/fW4ZCoEZRBqLAJGFQ2g5AdAfPQR.jpg,https://image.tmdb.org/t/p/w500/hUJ0UvQ5tgE2Z9WpfuduVSdiCiU.jpg,2006,1,NULL,4,4.99,79,23.99
21,AMERICAN CIRCUS,A Insightful Drama of a Girl And a Astronaut who must Face a Database Administrator in A Shark Tank,https://image.tmdb.org/t/p/w500/q01XdEa4gW25BtZ5qmkbuwxfq1p.jpg,https://image.tmdb.org/t/p/w500/yT4vQVUI4DoQar4elkqbHB1pjf0.jpg,2006,1,NULL,3,4.99,129,17.99
22,AMISTAD MIDSUMMER,A Emotional Character Study of a Dentist And a Crocodile who must Meet a Sumo Wrestler in California,https://image.tmdb.org/t/p/w500/4P4sIkczJfOsX5QKDy5gf5RPqFQ.jpg,https://image.tmdb.org/t/p/w500/ayVLPibrtazh7U5FliWRLDMmG3d.jpg,2006,1,NULL,6,2.99,85,10.99
23,ANACONDA CONFESSIONS,A Lacklusture Display of a Dentist And a Dentist who must Fight a Girl in Australia,https://image.tmdb.org/t/p/w500/qbe8WKCS0FpsuIjGR928QK3jn6z.jpg,https://image.tmdb.org/t/p/w500/77H17YDeHoJCHebpfGF1rY3Dfof.jpg,2006,1,NULL,3,0.99,92,9.99
24,ANALYZE HOOSIERS,A Thoughtful Display of a Explorer And a Pastry Chef who must Overcome a Feminist in The Sahara Desert,https://image.tmdb.org/t/p/w500/zpVMWiNJgcwHB0zIMGjXQMnSKPZ.jpg,https://image.tmdb.org/t/p/w500/atRGqnG7pe0hZP97RWDLrT2hRGZ.jpg,2006,1,NULL,6,2.99,181,19.99
25,ANGELS LIFE,A Thoughtful Display of a Woman And a Astronaut who must Battle a Robot in Berlin,https://image.tmdb.org/t/p/w500/oc4AVyMRkCrJiA87EGaxJSVXXk1.jpg,https://image.tmdb.org/t/p/w500/wWpqG3zrrPZhvNLflYJdbW1NgY3.jpg,2006,1,NULL,3,2.99,74,15.99
26,ANNIE IDENTITY,A Amazing Panorama of a Pastry Chef And a Boat who must Escape a Woman in An Abandoned Amusement Park,https://image.tmdb.org/t/p/w500/nuDuXMKB5BJL3umAu45p8hvUtcH.jpg,https://image.tmdb.org/t/p/w500/waEUrsiaRf6RCbDqHJVMRZaAKe0.jpg,2006,1,NULL,3,0.99,86,15.99
27,ANONYMOUS HUMAN,A Amazing Reflection of a Database Administrator And a Astronaut who must Outrace a Database Administrator in A Shark Tank,https://image.tmdb.org/t/p/w500/z8ejhyO0hVXk4KVo1bi4HMFP3FS.jpg,https://image.tmdb.org/t/p/w500/gghvmS3UxtOw1UHIgYjpeZNxHil.jpg,2006,1,NULL,7,0.99,179,12.99
28,ANTHEM LUKE,A Touching Panorama of a Waitress And a Woman who must Outrace a Dog in An Abandoned Amusement Park,https://image.tmdb.org/t/p/w500/9dixOiaWMKAJiqBiIf7GgHADsG4.jpg,https://image.tmdb.org/t/p/w500/q3cpTKhVOQ2b1PDN9BobvQAulec.jpg,2006,1,NULL,5,4.99,91,16.99
29,ANTITRUST TOMATOES,A Fateful Yarn of a Womanizer And a Feminist who must Succumb a Database Administrator in Ancient India,https://image.tmdb.org/t/p/w500/cUNjTGyyc9xsBkS6kVUWsTDrYBF.jpg,https://image.tmdb.org/t/p/w500/rYmyRxF5e9fBdgcQScKu0CUtMy5.jpg,2006,1,NULL,5,2.99,168,11.99
30,ANYTHING SAVANNAH,A Epic Story of a Pastry Chef And a Woman who must Chase a Feminist in An Abandoned Fun House,https://image.tmdb.org/t/p/w500/oDdKcMaiv91G8kGJGBO1AsqS9Cb.jpg,https://image.tmdb.org/t/p/w500/b2VgUoXR9iAtAf8nA0mvdTr7cOt.jpg,2006,1,NULL,4,2.99,82,27.99
31,APACHE DIVINE,A Awe-Inspiring Reflection of a Pastry Chef And a Teacher who must Overcome a Sumo Wrestler in A U-Boat,https://image.tmdb.org/t/p/w500None,https://image.tmdb.org/t/p/w500/eX3O8MnCXG7PjTaagz9we9WtObW.jpg,2006,1,NULL,5,4.99,92,16.99
32,APOCALYPSE FLAMINGOS,A Astounding Story of a Dog And a Squirrel who must Defeat a Woman in An Abandoned Amusement Park,https://image.tmdb.org/t/p/w500/xm7dypK8AlW3LdVtjmwgMzez4or.jpg,https://image.tmdb.org/t/p/w500/irk5J6IPY4YV4WKrzhwNap8WESn.jpg,2006,1,NULL,6,4.99,119,11.99
33,APOLLO TEEN,A Action-Packed Reflection of a Crocodile And a Explorer who must Find a Sumo Wrestler in An Abandoned Mine Shaft,https://image.tmdb.org/t/p/w500/oAfxQnTlfTKmr61RjE3NM2DlzUN.jpg,https://image.tmdb.org/t/p/w500/jgs2mdFlx8NJzbxXTHeQxvQbN6n.jpg,2006,1,NULL,5,2.99,153,15.99
34,ARABIA DOGMA,A Touching Epistle of a Madman And a Mad Cow who must Defeat a Student in Nigeria,https://image.tmdb.org/t/p/w500/oSBymzuVPj9ghmKB8Td3RX2Bakp.jpg,https://image.tmdb.org/t/p/w500/jyC13aGpVP4ogf8jSVfWLdk02h1.jpg,2006,1,NULL,6,0.99,62,29.99
35,ARACHNOPHOBIA ROLLERCOASTER,A Action-Packed Reflection of a Pastry Chef And a Composer who must Discover a Mad Scientist in The First Manned Space Station,https://image.tmdb.org/t/p/w500/auO1IdZSpZf8nvGGvRnEdHNdp4r.jpg,https://image.tmdb.org/t/p/w500/sspDghFACtzitHyNV4sMBQcQKsg.jpg,2006,1,NULL,4,2.99,147,24.99
36,ARGONAUTS TOWN,A Emotional Epistle of a Forensic Psychologist And a Butler who must Challenge a Waitress in An Abandoned Mine Shaft,https://image.tmdb.org/t/p/w500/jGiWKZW8odZlXfJxeprucfuIM1J.jpg,https://image.tmdb.org/t/p/w500/x9fLyw1ihuyLodGnHvfFoKWq2su.jpg,2006,1,NULL,7,0.99,127,12.99
37,ARIZONA BANG,A Brilliant Panorama of a Mad Scientist And a Mad Cow who must Meet a Pioneer in A Monastery,https://image.tmdb.org/t/p/w500/vmM3i7G3Oxn4dVA5Hz62frkJLZX.jpg,https://image.tmdb.org/t/p/w500/ltOL7KkaecCYp8mDHaQqscqRN2h.jpg,2006,1,NULL,3,2.99,121,28.99
38,ARK RIDGEMONT,A Beautiful Yarn of a Pioneer And a Monkey who must Pursue a Explorer in The Sahara Desert,,,2006,1,NULL,6,0.99,68,25.99
39,ARMAGEDDON LOST,A Fast-Paced Tale of a Boat And a Teacher who must Succumb a Composer in An Abandoned Mine Shaft,https://image.tmdb.org/t/p/w500/lB9pTO4uLK4tUMhrPLHih8oi76L.jpg,https://image.tmdb.org/t/p/w500/kGwtzPZ9oJkgYBH96zuJXjJUn6a.jpg,2006,1,NULL,5,0.99,99,10.99
40,ARMY FLINTSTONES,A Boring Saga of a Database Administrator And a Womanizer who must Battle a Waitress in Nigeria,https://image.tmdb.org/t/p/w500/2UYxVugjbaPHH5f3cEQveufe75Y.jpg,https://image.tmdb.org/t/p/w500/gcYoIHND3ugn2VH1cNHHNQasEyI.jpg,2006,1,NULL,4,0.99,148,22.99
41,ARSENIC INDEPENDENCE,A Fanciful Documentary of a Mad Cow And a Womanizer who must Find a Dentist in Berlin,https://image.tmdb.org/t/p/w500/nlQTjAY0RW8PHqTU3k53ZaVPKiu.jpg,https://image.tmdb.org/t/p/w500/fNRu16flw7V19GwxbJSgk2WcvR.jpg,2006,1,NULL,4,0.99,137,17.99
42,ARTIST COLDBLOODED,A Stunning Reflection of a Robot And a Moose who must Challenge a Woman in California,https://image.tmdb.org/t/p/w500/rTw3d5KtO7TCaGOQOeSnv7uujmR.jpg,https://image.tmdb.org/t/p/w500/lVEnRvjpWMPplRN5EX28cyNnVZk.jpg,2006,1,NULL,5,2.99,170,10.99
43,ATLANTIS CAUSE,A Thrilling Yarn of a Feminist And a Hunter who must Fight a Technical Writer in A Shark Tank,,,2006,1,NULL,6,2.99,170,15.99
44,ATTACKS HATE,A Fast-Paced Panorama of a Technical Writer And a Mad Scientist who must Find a Feminist in An Abandoned Mine Shaft,https://image.tmdb.org/t/p/w500/x8yA4dKJyctamyiM6jF8Zgqrlkh.jpg,https://image.tmdb.org/t/p/w500/dZzHBIcJsld2XMvwR75OZGf4NM2.jpg,2006,1,NULL,5,4.99,113,21.99
45,ATTRACTION NEWTON,A Astounding Panorama of a Composer And a Frisbee who must Reach a Husband in Ancient Japan,https://image.tmdb.org/t/p/w500/dSbXXdDcnQFimUf1mhkPk5dkQU3.jpg,https://image.tmdb.org/t/p/w500/u9gOfYelDwmvAmXWC1jgCFIY8RB.jpg,2006,1,NULL,5,4.99,83,14.99
46,AUTUMN CROW,A Beautiful Tale of a Dentist And a Mad Cow who must Battle a Moose in The Sahara Desert,https://image.tmdb.org/t/p/w500/c9LRVXgbhWGdtuHZ9xaEGYN7B2t.jpg,https://image.tmdb.org/t/p/w500/uvPe00dN92AAj9foq0a1Xt6XVx7.jpg,2006,1,NULL,3,4.99,108,13.99
47,BABY HALL,A Boring Character Study of a A Shark And a Girl who must Outrace a Feminist in An Abandoned Mine Shaft,https://image.tmdb.org/t/p/w500/iW2ZLRkKJvFuI6ZkSchk5f8kCPc.jpg,https://image.tmdb.org/t/p/w500/bR16gmwgnCD5e5UWPZHc1BsOsV0.jpg,2006,1,NULL,5,4.99,153,23.99
48,BACKLASH UNDEFEATED,A Stunning Character Study of a Mad Scientist And a Mad Cow who must Kill a Car in A Monastery,https://image.tmdb.org/t/p/w500/qpHQMt7zzlEkN3R4zMsYkqhgpeK.jpg,https://image.tmdb.org/t/p/w500/eVmOkUrEIRm6DKusKbI1gVS8paQ.jpg,2006,1,NULL,3,4.99,118,24.99
49,BADMAN DAWN,A Emotional Panorama of a Pioneer And a Composer who must Escape a Mad Scientist in A Jet Boat,https://image.tmdb.org/t/p/w500/phJnPutSg663Xc9lSa3UNp9C5zg.jpg,https://image.tmdb.org/t/p/w500/4uYICyRr94S005YHxDA61WI6P9J.jpg,2006,1,NULL,6,2.99,162,22.99
50,BAKED CLEOPATRA,A Stunning Drama of a Forensic Psychologist And a Husband who must Overcome a Waitress in A Monastery,https://image.tmdb.org/t/p/w500/saQxwnIr4ftRmFpJeV9DQI1lsWd.jpg,https://image.tmdb.org/t/p/w500/saVWvLE0haJTrH1c1YS68VTDKyC.jpg,2006,1,NULL,3,2.99,182,20.99
51,BALLOON HOMEWARD,A Insightful Panorama of a Forensic Psychologist And a Mad Cow who must Build a Mad Scientist in The First Manned Space Station,https://image.tmdb.org/t/p/w500/5Je1MgEXyo3Yg8brZPcrmp55cxq.jpg,https://image.tmdb.org/t/p/w500/fgJwqYJ59daMvOS3JuZJcJiVRVn.jpg,2006,1,NULL,5,2.99,75,10.99
52,BALLROOM MOCKINGBIRD,A Thrilling Documentary of a Composer And a Monkey who must Find a Feminist in California,https://image.tmdb.org/t/p/w500/uVT6sMjUYZpU5CL4RPXH85qoV8q.jpg,https://image.tmdb.org/t/p/w500/tafDYI10ZhorJ6nmsPqUfzQpRLn.jpg,2006,1,NULL,6,0.99,173,29.99
53,BANG KWAI,A Epic Drama of a Madman And a Cat who must Face a A Shark in An Abandoned Amusement Park,https://image.tmdb.org/t/p/w500/6JjbT2XMqYAY6AJ5ncXsrvqcUVj.jpg,https://image.tmdb.org/t/p/w500/h0ZmU7BZDWBucq1FvblfeAWUkad.jpg,2006,1,NULL,5,2.99,87,25.99
54,BANGER PINOCCHIO,A Awe-Inspiring Drama of a Car And a Pastry Chef who must Chase a Crocodile in The First Manned Space Station,https://image.tmdb.org/t/p/w500/wfStsmeSW7MtvYhD9Ac6ETXdbmx.jpg,https://image.tmdb.org/t/p/w500/44EKLFDthYONe4HAGZpGxEKeG8N.jpg,2006,1,NULL,5,0.99,113,15.99
55,BARBARELLA STREETCAR,A Awe-Inspiring Story of a Feminist And a Cat who must Conquer a Dog in A Monastery,https://image.tmdb.org/t/p/w500/9SEnI1BT0dqbMUJc1cFR75JoNSO.jpg,https://image.tmdb.org/t/p/w500/wkDi6nAQzSy5lex7kBaPPTlWx34.jpg,2006,1,NULL,6,2.99,65,27.99
56,BAREFOOT MANCHURIAN,A Intrepid Story of a Cat And a Student who must Vanquish a Girl in An Abandoned Amusement Park,https://image.tmdb.org/t/p/w500/7iFieVSvFizrGMRsxwXedBWqw4g.jpg,https://image.tmdb.org/t/p/w500/rJ5PukBOIgNeMdMSanSy3RY0Lor.jpg,2006,1,NULL,6,2.99,129,15.99
57,BASIC EASY,A Stunning Epistle of a Man And a Husband who must Reach a Mad Scientist in A Jet Boat,https://image.tmdb.org/t/p/w500/7Ug3qr6Y0lWc3y35W0bgu0KgdFb.jpg,https://image.tmdb.org/t/p/w500/mk8UH7JRmK8adcqJJpB1ygP7B1C.jpg,2006,1,NULL,4,2.99,90,18.99
58,BEACH HEARTBREAKERS,A Fateful Display of a Womanizer And a Mad Scientist who must Outgun a A Shark in Soviet Georgia,,,2006,1,NULL,6,2.99,122,16.99
59,BEAR GRACELAND,A Astounding Saga of a Dog And a Boy who must Kill a Teacher in The First Manned Space Station,,,2006,1,NULL,4,2.99,160,20.99
60,BEAST HUNCHBACK,A Awe-Inspiring Epistle of a Student And a Squirrel who must Defeat a Boy in Ancient China,https://image.tmdb.org/t/p/w500/bxJmFRjwWnpoLFkp5OSzA7xfzn6.jpg,https://image.tmdb.org/t/p/w500/aaEJu8vFKtrAoSRtw3xjCf1aM5d.jpg,2006,1,NULL,3,4.99,89,22.99
61,BEAUTY GREASE,A Fast-Paced Display of a Composer And a Moose who must Sink a Robot in An Abandoned Mine Shaft,https://image.tmdb.org/t/p/w500/h4450rIdOFcFNqu3W9BypYTbgGW.jpg,https://image.tmdb.org/t/p/w500/3L9lL2eUsmLNNfENPwNOc82Hzpw.jpg,2006,1,NULL,5,4.99,175,28.99
62,BED HIGHBALL,A Astounding Panorama of a Lumberjack And a Dog who must Redeem a Woman in An Abandoned Fun House,https://image.tmdb.org/t/p/w500/jrLKFyVTKZohK3sbuevdUQOhS3C.jpg,https://image.tmdb.org/t/p/w500/uLz0orq5ebcy06E64muwih2DLoU.jpg,2006,1,NULL,5,2.99,106,23.99
63,BEDAZZLED MARRIED,A Astounding Character Study of a Madman And a Robot who must Meet a Mad Scientist in An Abandoned Fun House,https://image.tmdb.org/t/p/w500/yAbLZEI9Mf98olcjRcXvIAIjHov.jpg,https://image.tmdb.org/t/p/w500/84wIp36RZ1zpVBoJTjwzGjZVRxD.jpg,2006,1,NULL,6,0.99,73,21.99
64,BEETHOVEN EXORCIST,A Epic Display of a Pioneer And a Student who must Challenge a Butler in The Gulf of Mexico,https://image.tmdb.org/t/p/w500/secc9CFi6OERSCB6RZ9yusDYlEm.jpg,https://image.tmdb.org/t/p/w500/rWPdo3ji7GwbuvmO7Ue1oPwRSOm.jpg,2006,1,NULL,6,0.99,151,26.99
65,BEHAVIOR RUNAWAY,A Unbelieveable Drama of a Student And a Husband who must Outrace a Sumo Wrestler in Berlin,https://image.tmdb.org/t/p/w500/OZuBhMnFjcEAx7FSx7qXZvriWX.jpg,https://image.tmdb.org/t/p/w500/4QK3JsMlA5uLZzSsh2Ld4kiQFPs.jpg,2006,1,NULL,3,4.99,100,20.99
66,BENEATH RUSH,A Astounding Panorama of a Man And a Monkey who must Discover a Man in The First Manned Space Station,https://image.tmdb.org/t/p/w500/ZrE3fbMzHv7emZhB127suQf46T.jpg,https://image.tmdb.org/t/p/w500/aCLSgw1DaqkRvosYc3YUttBTtpT.jpg,2006,1,NULL,6,0.99,53,27.99
67,BERETS AGENT,A Taut Saga of a Crocodile And a Boy who must Overcome a Technical Writer in Ancient China,https://image.tmdb.org/t/p/w500/veUujxONO3SyAvfZp5QndqPSzLg.jpg,https://image.tmdb.org/t/p/w500/tGX3YyPaYMbjiRwR5PjRsJW7GtM.jpg,2006,1,NULL,5,2.99,77,24.99
68,BETRAYED REAR,A Emotional Character Study of a Boat And a Pioneer who must Find a Explorer in A Shark Tank,https://image.tmdb.org/t/p/w500/cf7jOkeY8tqSnVRzAbdlUKQynhe.jpg,https://image.tmdb.org/t/p/w500/aE1iunrgO8UHfoXKJcjCy4Ih17n.jpg,2006,1,NULL,5,4.99,122,26.99
69,BEVERLY OUTLAW,A Fanciful Documentary of a Womanizer And a Boat who must Defeat a Madman in The First Manned Space Station,https://image.tmdb.org/t/p/w500/g2goLYvmeVXPDXatWRtvjGBrRkH.jpg,https://image.tmdb.org/t/p/w500/pzjylaV7WGmiATtyezCeHxfLrHk.jpg,2006,1,NULL,3,2.99,85,21.99
70,BIKINI BORROWERS,A Astounding Drama of a Astronaut And a Cat who must Discover a Woman in The First Manned Space Station,https://image.tmdb.org/t/p/w500/5D0nzJd4AY9h6HQL8qcLPvno7zR.jpg,https://image.tmdb.org/t/p/w500/61RknsRLF5YT1gIgSCVv4qbTt8C.jpg,2006,1,NULL,7,4.99,142,26.99
71,BILKO ANONYMOUS,A Emotional Reflection of a Teacher And a Man who must Meet a Cat in The First Manned Space Station,https://image.tmdb.org/t/p/w500/tXrqV2ZCVzGmiFjltlmm2qNRSM2.jpg,https://image.tmdb.org/t/p/w500/aAxlGB9hglPm9jFVfOPj1TWVnIK.jpg,2006,1,NULL,3,4.99,100,25.99
72,BILL OTHERS,A Stunning Saga of a Mad Scientist And a Forensic Psychologist who must Challenge a Squirrel in A MySQL Convention,https://image.tmdb.org/t/p/w500/euXJlfeYSyrdkOoFQ9gtUG8OOhH.jpg,https://image.tmdb.org/t/p/w500/qbtZewU6EGvxi8yFVzwZ31NijLX.jpg,2006,1,NULL,6,2.99,93,12.99
73,BINGO TALENTED,A Touching Tale of a Girl And a Crocodile who must Discover a Waitress in Nigeria,https://image.tmdb.org/t/p/w500/vORtOIuQMp3h3DCC6acfv1tsqhy.jpg,https://image.tmdb.org/t/p/w500/xjLK0EmD0MAM7B049SRCUQaqkdL.jpg,2006,1,NULL,5,2.99,150,22.99
74,BIRCH ANTITRUST,A Fanciful Panorama of a Husband And a Pioneer who must Outgun a Dog in A Baloon,https://image.tmdb.org/t/p/w500/R0p2aJVD7NTrCJFbDlTPKoVCCz.jpg,https://image.tmdb.org/t/p/w500/jRkt03dXCVKnbvcQm3ygU1cjg9Y.jpg,2006,1,NULL,4,4.99,162,18.99
75,BIRD INDEPENDENCE,A Thrilling Documentary of a Car And a Student who must Sink a Hunter in The Canadian Rockies,https://image.tmdb.org/t/p/w500/2wcRPnjAyN9yzHgr1DCpSaGe7wv.jpg,https://image.tmdb.org/t/p/w500/5fjyqkMly7L00CsWqoKtFtdeKyW.jpg,2006,1,NULL,6,4.99,163,14.99
76,BIRDCAGE CASPER,A Fast-Paced Saga of a Frisbee And a Astronaut who must Overcome a Feminist in Ancient India,https://image.tmdb.org/t/p/w500/uq37aoBe8MOvorPN4yXwqLt3GOQ.jpg,https://image.tmdb.org/t/p/w500/fhAeJpm80H3L7jUAStQrJBVe3K3.jpg,2006,1,NULL,4,0.99,103,23.99
77,BIRDS PERDITION,A Boring Story of a Womanizer And a Pioneer who must Face a Dog in California,https://image.tmdb.org/t/p/w500/cdR9ESJzcocgVphpwO5AYZRwrWg.jpg,https://image.tmdb.org/t/p/w500/xJ1BVHMOywEF55nCZC6g57CIJho.jpg,2006,1,NULL,5,4.99,61,15.99
78,BLACKOUT PRIVATE,A Intrepid Yarn of a Pastry Chef And a Mad Scientist who must Challenge a Secret Agent in Ancient Japan,https://image.tmdb.org/t/p/w500/7l2Qwo1VfIFv3hT6hM7F513hjLB.jpg,https://image.tmdb.org/t/p/w500/bNdA5ebwyaE9gwUUiTrdvQ3Ll6j.jpg,2006,1,NULL,7,2.99,85,12.99
79,BLADE POLISH,A Thoughtful Character Study of a Frisbee And a Pastry Chef who must Fight a Dentist in The First Manned Space Station,https://image.tmdb.org/t/p/w500/r4LK4yNgfV4rl3WuTF0yIa2HrXy.jpg,https://image.tmdb.org/t/p/w500/nNvnFQKQ67jUg3w8wGaQQXOipJz.jpg,2006,1,NULL,5,0.99,114,10.99
80,BLANKET BEVERLY,A Emotional Documentary of a Student And a Girl who must Build a Boat in Nigeria,https://image.tmdb.org/t/p/w500None,https://image.tmdb.org/t/p/w500/qLarSdKy9lSLvYdStbdoC6JHLR3.jpg,2006,1,NULL,7,2.99,148,21.99
81,BLINDNESS GUN,A Touching Drama of a Robot And a Dentist who must Meet a Hunter in A Jet Boat,https://image.tmdb.org/t/p/w500/l83LSCNdSWDccB1BquDmxMXqGK1.jpg,https://image.tmdb.org/t/p/w500/kwwDruwoHwNMY6tV7KOdVGcEusT.jpg,2006,1,NULL,6,4.99,103,29.99
